category,image,link,price,product_code,product_name
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_59698_pc_gaming_hacom_007.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-007-r3,8079000,PCGM374,PC GAMING HACOM 007 (R3 3200G/A320/8GB RAM/240GB SSD/500W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_60703_60703_pc_gaming_hacom_esport_002.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-esport-002-r3-3200g-a320-8gb-ram-120gb-ssd-400w,7399000,PCGM396,PC GAMING HACOM ESPORT 002 (R3 3200G/A320/8GB RAM/120GB SSD/400W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_63500_pc_gaming_hacom_pro_020_2022.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-pro-020-i5-11400f,29199000,PCGM440,PC GAMING HACOM PRO 020 (I5 11400F/B560/16GB RAM/500GB SSD/RTX 2060/650W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_55808_dell_g5_5000_chuan.jpg,https://www.hanoicomputer.vn/pc-dell-g5-5000-i9-10900f-32gb-ram-512gb-ssd-rtx2070s-wl-bt-k-m-win-10-70226493,48989000,PCDE620,PC Dell G5 5000 (i9-10900F/32GB RAM/512GB SSD/RTX2070S/WL+BT/K+M/Win 10) (70226493)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_61057_pc_gaming_hacom_pro_008.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-pro-008-i5,20599000,PCGM406,PC GAMING HACOM PRO 008 (I5 10400F/B560/8GB RAM/250GB SSD/1TB HDD/GTX 1650/600W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_55807_dell_g5_5000_chuan.jpg,https://www.hanoicomputer.vn/pc-dell-g5-5000-i5-10400f-16gb-ram-256gb-ssd-1tb-hdd-gtx1660s-wl-bt-k-m-win-10-70226491,27479000,PCDE619,PC Dell G5 5000 (i5-10400F/16GB RAM/256GB SSD+1TB HDD/GTX1660S/WL+BT/K+M/Win 10) (70226491)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_61058_pc_gaming_hacom_pro_009.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-pro-009-i5,32099000,PCGM407,PC GAMING HACOM PRO 009 (I5 11400/B560/16GB RAM/250GB SSD/1TB SSD/GTX 1660 SUPER/650W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_63502_pc_gaming_hacom_pro_021_2022.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-pro-021-r5-5600g,17499000,PCGM442,PC GAMING HACOM PRO 021 (R5 5600G/B550/16GB RAM/250GB SSD/RADEON RX VEGA/650W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_58066_dell_g5_5000_chuan.jpg,https://www.hanoicomputer.vn/pc-dell-g5-gaming-i9-10900f-32gb-ram-512gb-ssd-rtx2070s-wl-bt-k-m-win-10-d28m003g5000b,48989000,PCDE688,PC Dell G5 5000 (i9-10900F/32GB RAM/512GB SSD/RTX2070S/WL+BT/K+M/Win 10) (D28M003G5000B)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_61168_pc_gaming_hacom_pro_010.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-pro-010-i5,29899000,PCGM410,PC GAMING HACOM PRO 010 (I5 11400F/B560/16GB RAM/500GB SSD/RTX 2060/650W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_63552_pc_gaming_hacom_pro_022.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-pro-022-i5-12400f,34899000,PCGM443,PC GAMING HACOM PRO 022 (I5 12400F/B660/16GB RAM/500GB SSD/RTX 3060/750W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_58065_dell_g5_5000_chuan.jpg,https://www.hanoicomputer.vn/pc-dell-g5-gaming-i7-10700f-16gb-ram-256gb-ssd-1tb-hdd-rtx2060s-wl-bt-k-m-win-10-d28m003g5000a,38989000,PCDE687,PC Dell G5 5000 (i7-10700F/16GB RAM/256GB SSD+1TB HDD/RTX2060S/WL+BT/K+M/Win 10) (D28M003G5000A)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_53835_pc_enthusiast_gaming_platinum_003_c___u_h__nh_chu___n.jpg,https://www.hanoicomputer.vn/pc-enthusiast-gaming-platinum-003,0,PCGM220,PC ENTHUSIAST GAMING PLATINUM 003 (i9 10900K/Z490/32GB RAM/500GB SSD/RTX 2080 SUPER/850W/WATERCOOLING EK/RGB)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_61629_pc_gaming_hacom_limited_001.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-limited-001-i5-12600k-z690-32gb-ram-500gb-ssd-rtx-3060-ti-750w,59999000,PCGM414,PC GAMING HACOM LIMITED 001 (I5 12600K/Z690/32GB RAM/500GB SSD/RTX 3060 TI/750W)
"PC Đồ Họa, Render, Máy Chủ",https://hanoicomputercdn.com/media/product/250_41697_nvidia_quadro_p620_2gb_gddr5_01.jpg,https://www.hanoicomputer.vn/vga-card-nvidia-quadro-p620-2gb-gddr5,4299000,VGLE041,VGA Card nVidia Quadro P620 2GB GDDR5
"PC Đồ Họa, Render, Máy Chủ",https://hanoicomputercdn.com/media/product/250_57920_kingston_8gb_kdm26es8_8hd.jpg,https://www.hanoicomputer.vn/ram-server-workstation-kingston-ksm26es8-8hd-8gb-ddr4-2666mhz-ecc,1599000,RAKT280,Ram Server & Workstation Kingston (KSM26ES8/8HD) 8GB DDR4 2666MHz ECC
"PC Đồ Họa, Render, Máy Chủ",https://hanoicomputercdn.com/media/product/250_51399_hdd_wd_gold_1tb35sata_3128mb_cache7200rpm_wd1005fbyz_01.jpg,https://www.hanoicomputer.vn/hdd-wd-gold-1tb35sata-3128mb-cache7200rpm-wd1005fbyz,2399000,HDWD313,HDD WD Gold (1TB/3.5/SATA 3/128MB Cache/7200RPM) (WD1005FBYZ)
"PC Đồ Họa, Render, Máy Chủ",https://hanoicomputercdn.com/media/product/250_58143_dell_t40.jpg,https://www.hanoicomputer.vn/server-dell-poweredge-t40-xeon-e-2224g-8gb-ram-1tb-hdd-dvdrw-70233900,16469000,SEDE083,Server Dell PowerEdge T40 (Xeon E-2224G/8GB RAM/1TB HDD/DVDRW) (70233900)
"PC Đồ Họa, Render, Máy Chủ",https://hanoicomputercdn.com/media/product/250_51401_hdd_wd_gold_2tb35sata_3128mb_cache7200rpm_wd2005fbyz_01.jpg,https://www.hanoicomputer.vn/hdd-wd-gold-2tb35sata-3128mb-cache7200rpm-wd2005fbyz,3299000,HDWD314,HDD WD Gold (2TB/3.5/SATA 3/128MB Cache/7200RPM) (WD2005FBYZ)
"PC Đồ Họa, Render, Máy Chủ",https://hanoicomputercdn.com/media/product/250_63429_anh_sp_pcws_design_052_2.jpg,https://www.hanoicomputer.vn/pc-hacom-designer-d052-i5,15499000,PCWS235,PC HACOM Designer D052 (i5-10400F/B560/16GB RAM/240GB SSD/Quadro T600)
"PC Đồ Họa, Render, Máy Chủ",https://hanoicomputercdn.com/media/product/250_58181_dell_t40.jpg,https://www.hanoicomputer.vn/server-dell-poweredge-t40-xeon-e-2224g-8gb-ram-1tb-hdd-dvdrw-42deft040-201,16469000,SEDE084,Server Dell PowerEdge T40 (Xeon E-2224G/8GB RAM/1TB HDD/DVDRW) (42DEFT040-201)
"PC Đồ Họa, Render, Máy Chủ",https://hanoicomputercdn.com/media/product/250_50745_hdd_wd_gold_6tb_3_5_inch_sata_3_256mb_cache_7200rpm_wd6003fryz_01.jpg,https://www.hanoicomputer.vn/hdd-wd-gold-6tb-3-5-inch-sata-3-256mb-cache-7200rpm-wd6003fryz,6519000,HDWD316,HDD WD Gold (6TB/3.5 inch/SATA 3/256MB Cache/7200RPM) (WD6003FRYZ)
"PC Đồ Họa, Render, Máy Chủ",https://hanoicomputercdn.com/media/product/250_63428_anh_sp_pcws_design_051_2.jpg,https://www.hanoicomputer.vn/pc-hacom-designer-d051-i3,11499000,PCWS234,PC HACOM Designer D051 (i3-10105F/H510/8GB RAM/240GB SSD/Quadro P620)
"PC Đồ Họa, Render, Máy Chủ",https://hanoicomputercdn.com/media/product/250_61319_60748_50227_dell_t140.jpg,https://www.hanoicomputer.vn/server-dell-poweredge-t140-xeon-e-2224-8gb-ram-1tb-hdd-dvdrw-idrac9-basic-365w-42deft140-801,25999000,SEDE091,Server Dell PowerEdge T140 (Xeon E-2224/8GB RAM/1TB HDD/DVDRW/iDRAC9 Basic/365W) (42DEFT140-801)
"PC Đồ Họa, Render, Máy Chủ",https://hanoicomputercdn.com/media/product/250_62105_c06937857.png,https://www.hanoicomputer.vn/workstation-hp-z2-g5-tower-xeon-w-1270p-8gb-ram-256gb-ssd-k-m-linux-9fr63av,33299000,WSHP021,Workstation HP Z2 G5 Tower (Xeon W-1270P/8GB RAM/256GB SSD/K+M/Linux) (9FR63AV)
"PC Đồ Họa, Render, Máy Chủ",https://hanoicomputercdn.com/media/product/250_61027_may_tram_workstation_dell_precision_3650_tower_cto.jpg,https://www.hanoicomputer.vn/workstation-dell-precision-3650-tower-cto-base-w-1350-16gb-ram-256gb-ssd-1tb-hdd-p620-dvdrw-k-m-ubuntu-42pt3650d07,33799000,WSDE086,Workstation Dell Precision 3650 Tower CTO Base (W-1350/16GB RAM/256GB SSD + 1TB HDD/P620/DVDRW/K+M/Ubuntu) (42PT3650D07)
"PC Đồ Họa, Render, Máy Chủ",https://hanoicomputercdn.com/media/product/250_60748_50227_dell_t140.jpg,https://www.hanoicomputer.vn/server-dell-poweredge-t140-xeon-e-2234-8gb-ram-1tb-hdd-dvdrw-idrac9-basic-365w-70233889,27999000,SEDE090,Server Dell PowerEdge T140 (Xeon E-2234/8GB RAM/1TB HDD/DVDRW/iDRAC9 Basic/365W) (70233889)
"PC Đồ Họa, Render, Máy Chủ",https://hanoicomputercdn.com/media/product/250_63741_dell_ws_3650_2.png,https://www.hanoicomputer.vn/workstation-dell-precision-3650-tower-i7-11700-8gb-ram-1tb-hdd-t600-dvdrw-k-m-ubuntu-42pt3650d13,30699000,WSDE089,Workstation Dell Precision 3650 Tower (i7-11700/8GB RAM/1TB HDD/T600/DVDRW/K+M/Ubuntu) (42PT3650D13)
"PC Đồ Họa, Render, Máy Chủ",https://hanoicomputercdn.com/media/product/250_64023_dell_ws_3650_2.png,https://www.hanoicomputer.vn/workstation-dell-precision-3650-tower-w-1350-8gb-ram-1tb-hdd-dvdrw-k-m-no-os-70261830,24499000,WSDE090,Workstation Dell Precision 3650 Tower (W-1350/8GB RAM/1TB HDD/DVDRW/K+M/No OS) (70261830)
"PC Đồ Họa, Render, Máy Chủ",https://hanoicomputercdn.com/media/product/250_57381_56255_dell_precision_3640_tower_cto_base.jpg,https://www.hanoicomputer.vn/workstation-dell-precision-3640-tower-i7-10700-16gb-ram-2x8-1tb-hdd-p620-dvdrw-k-m-ubuntu-70231769,30609000,WSDE075,Workstation Dell Precision 3640 Tower (i7-10700/16GB RAM (2x8)/1TB HDD/P620/DVDRW/K+M/Ubuntu) (70231769)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_64526_pc_gaming_hacom_36.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-036-r5,17299000,PCGM457,PC GAMING HACOM 036 (R5 3500/B450/8GB RAM/256GB SSD/RX 6500 XT/600W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_62723_pc_gaming_hacom_028.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-028,15699000,PCGM434,PC GAMING HACOM 028 (I3 10105/H510/8GB RAM/240GB SSD/GTX 1650/550W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_64527_pc_gaming_hacom_37.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-037-i3,15399000,PCGM458,PC GAMING HACOM 037 (I3 12100F/H610/8GB RAM/500GB SSD/GTX 1050TI/500W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_64528_pc_gaming_hacom_pro_029.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-pro-029-i5,21799000,PCGM459,PC GAMING HACOM PRO 029 (I5 11400F/B560/8GB RAM/256GB SSD/GTX 1660 SUPER/600W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_63501_pcgm_update.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-031-i3-10105f,15899000,PCGM441,PC GAMING HACOM 031 (I3 10105F/H510/8GB RAM/500GB SSD/GTX 1650/700W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_64529_pc_gaming_hacom_pro_030.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-pro-030-i7,50499000,PCGM460,PC GAMING HACOM PRO 030 (I7 12700F/Z690/32GB RAM/500GB SSD/RTX 3070TI/850W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_64530_pc_gaming_hacom_38.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-038-i3,12899000,PCGM461,PC GAMING HACOM 038 (I3 10105F/H510/8GB RAM/240GB SSD/GTX 1050TI/500W)
"PC Gaming, Streaming",,https://www.hanoicomputer.vn/pc-gaming-hacom-039-i3,12499000,PCGM462,PC GAMING HACOM 039 (I3 10105F/H510/8GB RAM/240GB SSD/GTX 1050TI/450W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_61455_pc_lenovo_ideacentre_g5.jpg,https://www.hanoicomputer.vn/pc-lenovo-ideacentre-g5-14imb05-i5-10400-8gb-ram-256gb-ssd-gtx1660-super-wl-bt-no-os-90n900h8vm,20999000,PCLE240,PC Lenovo IdeaCentre G5 14IMB05 (i5-10400/8GB RAM/256GB SSD/GTX1660 Super/WL+BT/No OS) (90N900H8VM)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_64015_pc_gaming_hacom_pro_026.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-pro-026-i5,32699000,PCGM449,PC GAMING HACOM PRO 026 (I5 12400F/B660/16GB RAM/500GB SSD/RTX 3060/750W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_62278_pc_gaming_hacom_025.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-025-i3,13799000,PCGM424,PC GAMING HACOM 025 (i3 10105F/H510/8GB RAM/240GB SSD/GTX 1050TI/550W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_64227_pc_gaming_hacom_34.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-034,13699000,PCGM452,PC GAMING HACOM 034 (I3 10105F/H510/8GB RAM/500GB SSD/GTX 1050TI/450W)
